Image,Framework,Version
C:\Windows\WinSxS\amd64_msbuild_b03f5f7f11d50a3a_10.0.19041.1_none_fa6e7f402dbc0227\MSBuild.exe,.NET Framework,v2.0.50727
C:\Windows\WinSxS\amd64_msbuild_b03f5f7f11d50a3a_3.5.19041.1_none_82a6b3679b68b331\MSBuild.exe,.NET Framework,v2.0.50727
C:\Users\same_\.vscode\extensions\ms-dotnettools.csharp-2.84.19-win32-x64\.roslyn\BuildHost-net472\Microsoft.CodeAnalysis.Workspaces.MSBuild.BuildHost.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Amazon Drive\AmazonPhotos.exe,.NET Framework,4.8
C:\Users\same_\AppData\Local\AzureFunctionsTools\Releases\1.13.2\cli_x64\func.exe,.NET Framework,4.7.1
C:\Users\same_\AppData\Local\AzureFunctionsTools\Releases\2.60.0\cli_x64\Microsoft.Azure.WebJobs.Script.WebHost.dll,.NET Framework,2.2
C:\Users\same_\AppData\Local\AzureFunctionsTools\Releases\2.60.0\cli_x64\func.dll,.NET Framework,2.2
C:\Users\same_\AppData\Local\AzureFunctionsTools\Releases\3.33.0\cli_x64\Microsoft.Azure.WebJobs.Script.WebHost.dll,.NET Framework,3.1
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\resources\app\ServiceHub\Services\Microsoft.VisualStudio.Setup.Service\VSIXInstaller.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\vs_layout.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\vs_installershell.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\vs_installer.windows.exe,.NET Framework,v2.0.50727
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\vs_installer.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\VSInstallerElevationService.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\setup.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\Microsoft.VisualStudio.Setup.ToastNotification.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\InstallCleanup.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\41pghhiz.f5t\feedback.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\5vnd0ztg.24a\feedback.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\vlwh2doi\AndroidPlatformMAUI.7539777CD34B3A15AD74\AndroidSdkInstaller.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\vlwh2doi\AndroidPlatformMAUI2.39527689095EF6EF65C3\AndroidSdkInstaller.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\vlwh2doi\Microsoft.Build.UnGAC.843946F6F6E693C24240\Microsoft.Build.UnGAC.exe,.NET Framework,4.5
C:\Users\same_\AppData\Local\Temp\vlwh2doi\Microsoft.VisualStudio.Initializer.F63F5D1284D4E8712206\VSInitializer.exe,.NET Framework,4.7.2
C:\Users\same_\AppData\Local\Temp\AmazonPhotosSetup.exe,.NET Framework,4.8
C:\Windows\assembly\GAC_64\MSBuild\3.5.0.0__b03f5f7f11d50a3a\MSBuild.exe,.NET Framework,v2.0.50727
C:\Windows\assembly\GAC_MSIL\PresentationFontCache\3.0.0.0__31bf3856ad364e35\PresentationFontCache.exe,.NET Framework,v2.0.50727
C:\Windows\assembly\GAC_MSIL\WsatConfig\3.0.0.0__b03f5f7f11d50a3a\WsatConfig.exe,.NET Framework,v2.0.50727
C:\Windows\assembly\NativeImages_v4.0.30319_32\aspnet_intern\cbe7ce603510d06beb6e857d9bd700c3\aspnet_intern.ni.exe,.NET Framework,v4.0.30319
C:\Windows\assembly\NativeImages_v4.0.30319_32\aspnet_intern\d11e0d6d209c6b90a70bc3cbf75ee570\aspnet_intern.ni.exe,.NET Framework,v4.0.30319
C:\Windows\assembly\NativeImages_v4.0.30319_32\aspnet_intern\ffed2c275968b2c4f9a21125dc403da6\aspnet_intern.ni.exe,.NET Framework,v4.0.30319
C:\Windows\assembly\NativeImages_v4.0.30319_32\aspnet_merge\5cd2b60400e41d34de5833f515a3533a\aspnet_merge.ni.exe,.NET Framework,v4.0.30319
C:\Windows\assembly\NativeImages_v4.0.30319_32\aspnet_merge\81e1ca16cc334f1df57bc1733512a869\aspnet_merge.ni.exe,.NET Framework,v4.0.30319
C:\Windows\assembly\NativeImages_v4.0.30319_32\ilc\8271b625ad3300ddfd5ee3d8163bf7d8\ilc.ni.exe,.NET Framework,v4.0.30319
C:\Windows\assembly\NativeImages_v4.0.30319_32\ilc\8a9d8284e10b3cead8e8953107ed0942\ilc.ni.exe,.NET Framework,v4.0.30319
C:\Windows\assembly\NativeImages_v4.0.30319_32\IntelliTrace\cb2b4f1e57010127197d266457627d9d\IntelliTrace.ni.exe,.NET Framework,v2.0.50727
C:\Windows\assembly\NativeImages_v4.0.30319_32\InteractiveHost32\1a4ed851445e7f6dba2996f6b3900bca\InteractiveHost32.ni.exe,.NET Framework,4.7.2
C:\Windows\assembly\NativeImages_v4.0.30319_32\lc\20e4757553b53a62a07baf5d78c6f83c\lc.ni.exe,.NET Framework,v4.0.30319
C:\Windows\assembly\NativeImages_v4.0.30319_32\lc\2fb59d1ac26b8e5ea9782c53792556be\lc.ni.exe,.NET Framework,v4.0.30319
C:\Windows\assembly\NativeImages_v4.0.30319_32\lc\5f54774e732098205b5042bce4fd5978\lc.ni.exe,.NET Framework,v4.0.30319
C:\Windows\assembly\NativeImages_v4.0.30319_32\Microsoft.Dee252aac#\3b4ef66a62ff56688a71dd28a55164c5\Microsoft.Developer.IdentityService.ni.exe,.NET Framework,4.7.2
C:\Windows\assembly\NativeImages_v4.0.30319_32\MSBuild\c8183de74a979b5a6091ccd9e8a6db01\MSBuild.ni.exe,.NET Framework,4.7.2
C:\Windows\assembly\NativeImages_v4.0.30319_32\MSTest\bb0685ebd8f2390afdcade63a6b21c0d\MSTest.ni.exe,.NET Framework,4.0
C:\Windows\assembly\NativeImages_v4.0.30319_32\QTAgent32\8fcf6de8b7772f02560ecc507cd7ac18\QTAgent32.ni.exe,.NET Framework,4.5
C:\Windows\assembly\NativeImages_v4.0.30319_32\QTAgent32_35\bc559144d64e5016ed417cb4b544dcd5\QTAgent32_35.ni.exe,.NET Framework,v2.0.50727
C:\Windows\System32\AsusDownLoadLicense.exe,.NET Framework,4.6.1
C:\Windows\WinSxS\msil_servicemodelreg_b03f5f7f11d50a3a_10.0.19041.1_none_0bb55a3e8d066c16\ServiceModelReg.exe,.NET Framework,v2.0.50727
C:\Windows\WinSxS\msil_smsvchost_b03f5f7f11d50a3a_10.0.19200.110_none_30a09d63c4775424\SMSvcHost.exe,.NET Framework,v2.0.50727
C:\Program Files (x86)\Microsoft SDKs\ClickOnce Bootstrapper\Engine\Launcher.exe,.NET Framework,4.5
C:\Program Files (x86)\Microsoft SDKs\UWPNuGetPackages\runtime.win10-arm64.microsoft.net.native.compiler\2.2.12-rel-31116-00\tools\arm64\ilc\tools\sg.exe,.NET Framework,v4.0.30319
C:\Program Files (x86)\Microsoft SDKs\UWPNuGetPackages\runtime.win10-arm64.microsoft.net.native.compiler\2.2.12-rel-31116-00\tools\arm64\ilc\tools\MakeNativeWinMD.exe,.NET Framework,v4.0.30319
C:\Program Files (x86)\Microsoft SDKs\UWPNuGetPackages\runtime.win10-arm64.microsoft.net.native.compiler\2.2.12-rel-31116-00\tools\arm64\ilc\tools\ILCTelemetry.exe,.NET Framework,v4.0.30319
C:\Program Files (x86)\Microsoft SDKs\UWPNuGetPackages\runtime.win10-x64.microsoft.net.native.compiler\2.2.12-rel-31116-00\tools\x64\ilc\tools\sg.exe,.NET Framework,v4.0.30319
C:\Program Files (x86)\Microsoft SDKs\UWPNuGetPackages\runtime.win10-x64.microsoft.net.native.compiler\2.2.12-rel-31116-00\tools\x64\ilc\tools\MakeNativeWinMD.exe,.NET Framework,v4.0.30319
C:\Program Files (x86)\Microsoft SDKs\UWPNuGetPackages\runtime.win10-x64.microsoft.net.native.compiler\2.2.12-rel-31116-00\tools\x64\ilc\tools\ILCTelemetry.exe,.NET Framework,v4.0.30319
C:\Program Files (x86)\Microsoft SDKs\UWPNuGetPackages\runtime.win10-x86.microsoft.net.native.compiler\2.2.12-rel-31116-00\tools\x86\ilc\tools\sg.exe,.NET Framework,v4.0.30319
C:\Program Files (x86)\Microsoft SDKs\UWPNuGetPackages\runtime.win10-x86.microsoft.net.native.compiler\2.2.12-rel-31116-00\tools\x86\ilc\tools\MakeNativeWinMD.exe,.NET Framework,v4.0.30319
